Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
The Moon on a Rainy Night - Tome 2,13.21,"Kanon est sourde. Quelque chose chez elle attire Saki.

Kanon utilise la lecture labiale pour com-muniquer avec les personnes qui l&#39entourent. Grâce à sa nouvelle amitié avec sa voisine de classe Saki, elle commence peu à peu à trouver sa place au sein du lycée.
Saki rencontre la petite sœur de Kanon, Rinne, qui sait lire sur les lèvres et dit être douée pour comprendre les expressions faciales des gens. Celle-ci pense que Saki est une fille louche qui cache quelque chose à sa grande sœur.
Malgré ces circonstances, Kanon lui ouvre son cœur et Saki arrive à mettre un nom sur ce qu&#39elle ressent…

Comme la lune par une nuit pluvieuse, les deux jeunes filles possèdent quelque chose qui ne peut être vu avec les yeux.",978-2385032104,https://m.media-amazon.com/images/I/81bioHRIOXL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (14 décembre 2023),Kuzushiro,Yuri
I Can&#39t Believe I Slept With You! - Tome 1,12.75,"Vous voulez bien coucher avec moi ?

Chiyo, une locataire de 24 ans, sans emploi et avec plusieurs mois de loyers impayés, reçoit un jour une proposition incongrue de sa propriétaire, une fille sérieuse et responsable de 19 ans. « À la place du loyer, j&#39aimerais que tu couches avec moi. » Quelle direction va bien pouvoir prendre la relation des deux jeunes femmes après un début pareil ?!

À la place du loyer, ma proprio m&#39a proposé de la payer avec mon corps.

Prix d’or du 26e Dengeki Comic Awards et nommé aux Next Manga Awards (2020)

Tomber amoureuse n’était pas une clause du contrat !",978-2385034016,https://m.media-amazon.com/images/I/812xbSfT46L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (22 février 2024),Miyako Miyahara,Yuri
Citrus T07,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre sa pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle a se faire à sa nouvelle vie ? Arrivera-t-elle à s&#39entendre avec sa demi-soeur ?",978-2375061060,https://m.media-amazon.com/images/I/71iP9rCUO1L._SY522_.jpg,TAIFU COMICS; Illustrated édition (12 juillet 2018),SABUROUTA,Yuri
Tadokoro-san - Tome 03,12.66,"Je veux dessiner une héroïne inspirée de Sakurako !

La discrète Tadokoro a décidé de se lancer à fond dans la création de mangas. Trouvera-t-elle enfin son style ? En tout cas, sa petite amie, Nikaïdô, la soutient à 100 % ! Pour couronner le tout, elle fait de nouvelles rencontres. L&#39une est une alliée, l&#39autre une rivale !",978-2385032050,https://m.media-amazon.com/images/I/81yuQsqK0mL._SY522_.jpg,Meian; Meian (Collection Yuri) édition (20 mars 2024),Tatsubon,Yuri
Citrus + T03,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375063057,https://m.media-amazon.com/images/I/716mkWV7qJL._SY522_.jpg,TAIFU COMICS; Illustrated édition (10 décembre 2021),SABUROUTA,Yuri
Citrus T04,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste, qui veut vivre pleinement sa vie. Elle ne connaît pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très stricte réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et…sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s&#39entendre avec sa demi-soeur ?",978-2375060117,https://m.media-amazon.com/images/I/71GIA8tB1YL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 septembre 2016),SABUROUTA,Yuri
Kase-san saison 2 T03 (& Yamada),9.19,"Moi aussi, je veux te voir tous les jours ! Nous sommes en automne et Kase est toujours aussi occupée avec son club et sa vie au dortoir. Yamada, de son côte continue d&#39étudier et travaille à mi-temps. Elle a même rejoint le club de jardinage. Ce dernier participe à la création d&#39un jardin pour la fête de l&#39université, produit par un jardinier admire de Yamada : Tagame Densuke. De plus, un invité de marque sera de la partie... Il s&#39agit d&#39un acteur qui intervient dans la même émission télévisée que M. Densuke, un beau gosse surnommé ""le prince fleuri"", Seki Tomoharu. Quand elle le découvre, Kase n&#39arrive pas à rester calme... Chacune a la fête d&#39automne de son université, puis vient leur premier voyage en hiver. Et leur envie de vivre ensemble ne fait que gonfler ! Le récit de la jeunesse étincelante de Yamada et Kase, troisième volume à l&#39université !",978-2375063798,https://m.media-amazon.com/images/I/716NYGVd2JL._SY522_.jpg,TAIFU COMICS; Illustrated édition (26 janvier 2024),Hiromi TAKASHIMA,Yuri
Citrus T05,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre sa pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle a se faire à sa nouvelle vie ? Arrivera-t-elle à s&#39entendre avec sa demi-soeur ?",978-2375060636,https://m.media-amazon.com/images/I/71dL1pFFm+L._SY522_.jpg,TAIFU COMICS; Illustrated édition (28 novembre 2017),SABUROUTA,Yuri
Notre été éphémère - Tome 05,19.62,"Shizuku promet à Kaori d&#39écrire un roman à propos de leur histoire, afin que cette dernière ne cherche plus à s&#39éloigner d&#39elle. Leur relation évolue doucement au fur et à mesure de leurs rencontres à l&#39hôpital. Mais Shiori, la petite soeur de Kaori, réserve un accueil des plus glacials à l&#39amie de sa grande soeur.",978-2385034207,https://m.media-amazon.com/images/I/71LEOsP7wJL._SY522_.jpg,Meian; Yuri édition (22 février 2024),Yuama,Yuri
Kase-san T05 (& les cerisiers),7.52,"Chargée comme d&#39habitude de l&#39entretien des fleurs du lycée, Yamada fait un jour la rencontre de la grande et athlétique Kase, de la classe d&#39à-côté. Plus rapide que les garçons, plus charmante que les garçons, Kase est pour Yamada bien plus qu&#39une fille qu&#39elle aimerait être : elle est celle avec qui elle aimerait être. Mais elle ignore que son affection n&#39est pas à sens unique, et que Kase admire le sérieux et la féminité de la pourtant discrète Yamada. Les deux filles se rapprochent l&#39une de l&#39autre, et rapidement bourgeonne entre elles un sentiment bien particulier",978-2375061985,https://m.media-amazon.com/images/I/61n33oNibqL._SY522_.jpg,TAIFU COMICS; Illustrated édition (26 juin 2020),Hiromi TAKASHIMA,Yuri
Notre été éphémère - Tome 2,6.96,"« J&#39ai bizuté mon amie »

Ne supportant plus les douces attentions de Kaori qu&#39elle estime ne pas mériter, Shizuku révèle ce passé si douloureux pour elle.

Mais elle est stupéfaite par la réponse de son amie, qui lui révèle qu&#39elle était déjà au courant de tout cela.
Terrifiée et confuse, Shizuku s&#39enfuit, mais comprend enfin qu&#39elle ne peut plus fuir son passé...",978-2385034177,https://m.media-amazon.com/images/I/81bLJ-dXs-L._SY522_.jpg,Meian; Meian (Collection Yuri) édition (30 novembre 2023),Yuama,Yuri
Citrus T06,8.42,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre sa pleinement sa vie. Elle ne connait pas l amour et va jusqu à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle a se faire à sa nouvelle vie ? Arrivera-t-elle à s entendre avec sa demi-soeur ?",978-2375060810,https://m.media-amazon.com/images/I/71p+1WF0ySL._SY522_.jpg,TAIFU COMICS; Illustrated édition (23 février 2018),SABUROUTA,Yuri
Kase-san T04 (& le tablier),17.12,"Chargée comme d&#39habitude de l&#39entretien des fleurs du lycée, Yamada fait un jour la rencontre de la grande et athlétique Kase, de la classe d&#39à-côté. Plus rapide que les garçons, plus charmante que les garçons, Kase est pour Yamada bien plus qu&#39une fille qu&#39elle aimerait être : elle est celle avec qui elle aimerait être. Mais elle ignore que son affection n&#39est pas à sens unique, et que Kase admire le sérieux et la féminité de la pourtant discrète Yamada. Les deux filles se rapprochent l&#39une de l&#39autre, et rapidement bourgeonne entre elles un sentiment bien particulier.",978-2375061961,https://m.media-amazon.com/images/I/51ZHROycqGL._SY445_SX342_.jpg,TAIFU COMICS; Illustrated édition (13 mars 2020),Hiromi TAKASHIMA,Yuri
Citrus T01,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l&#39amour et va jusqu&#39à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n&#39est autre que la présidente du conseil des élèves et… sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s&#39entendre avec sa demi-soeur ?",978-2351809693,https://m.media-amazon.com/images/I/71JHS3Khd6L._SY522_.jpg,TAIFU COMICS (13 janvier 2016),SABUROUTA,Yuri
Whispering you a love song T04,6.38,,978-2375063323,https://m.media-amazon.com/images/I/719WEZjpP6L._SY522_.jpg,TAIFU COMICS; Illustrated édition (2 juin 2023),TAKESHIMA EKU,Yuri
