Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Lullaby of the Dawn T01,18.52,,978-2375063705,https://m.media-amazon.com/images/I/61CvlmcAPwL._SY522_.jpg,TAIFU COMICS; Illustrated édition (7 juillet 2023),ICHIKA YUNO,Yaoi
Scarlet Secret,19.21,,978-2375063712,https://m.media-amazon.com/images/I/71vm9FuOZCL._SY522_.jpg,TAIFU COMICS; Illustrated édition (7 juillet 2023),TOMO SERIZAWA,Yaoi
La souris et le renard,7.95,"Sachio Kurumizawa est un oméga souris qui a du mal avec Ukano, un alpha renard. L&#39un est auteur de manga et l&#39autre est son éditeur. Kurumizawa semble constamment effrayé par le regard d&#39Ukano, car celui-ci a toujours l&#39air de vouloir le croquer. Un jour, alors qu&#39une date butoir arrive à grand pas, Kurumizawa se fait droguer dans un bar pour omégas et est secouru par Ukano.
Incapable d&#39arrêter ses envies, Ukano le persuade qu&#39il peut y mettre fin une fois pour toutes si celui-ci éjacule en lui. C&#39est la première fois que Kurumizawa fait l&#39amour et il est terrifié à l&#39idée d&#39être mangé.",978-2382764480,https://m.media-amazon.com/images/I/71pCMO52EJL._SY522_.jpg,BOY S LOVE (11 décembre 2023),Namio Hanasawa,Yaoi
Mon ami de jeu en ligne est en réalité mon patron tyrannique ! - Tome 01,6.61,"Hashimoto, salaryman ordinaire, reçoit chaque jour des directives strictes de son supérieur beau et talentueux mais néanmoins tyrannique Shirase-san. Son seul loisir est de discuter avec son camarade de jeu en ligne UMA, à qui il se plaint de son patron. Un jour, Hashimoto décide de rencontrer ce dernier en vrai mais tout ne va pas se passer comme prévu...?!",978-2382764060,https://m.media-amazon.com/images/I/61IAXfk-GEL._SY522_.jpg,Boy&#39s Love; Hana Book édition (13 décembre 2023),Nmura,Yaoi
Sasaki et Miyano - Tome 1 (VF),7.55,"Quand les mangas boy&#39s love permettent à un lycéen de vivre la plus parfaite des romances !
Dans Sasaki et Miyano, véritable manga hybride et énorme succès au Japon, suivez le quotidien empli de douceur de deux adolescents qui apprennent à se connaître...
Miyano est un lycéen fan de mangas boy&#39s love. Et surtout, il est très complexé par son visage aux traits efféminés. Mais un jour, alors qu&#39il assiste à une bagarre, un de ses aînés intervient pour éviter que la situation ne tourne au vinaigre. Ce dernier, prénommé Sasaki, commence très vite à éprouver de l&#39affection pour son camarade. Cherchant à le comprendre et à le connaître, il découvre l&#39intérêt que Miyano porte pour les mangas boy&#39s love... Sans préjugé, il va alors également commencer à essayer d&#39en lire. Et si c&#39était le début d&#39une belle histoire d&#39amour ?",978-2382122440,https://m.media-amazon.com/images/I/6152vHPnqUL._SY522_.jpg,Akata; Illustrated édition (10 mars 2022),Shou Harusono,Yaoi
Café pour deux,6.66,"Dans la ville d&#39Osawa, un projet de réaménagement inquiète les petits commerçants.Parmi eux, Natsuki, gérant d&#39un café au bord de l&#39océan, voit venir tous les jours dans son établissement le bel Akutsu, un des membres de la société immobilière derrière ce projet. Malgré les tensions, les deux paraissent néanmoins assez bien s&#39entendre, même si Akutsu se montre très taquin vis à vis de Natsuki. Un soir, alors qu&#39il se rend par curiosité pour la première fois dans un club gay de la ville, Natsuki y trouve à l&#39entrée Akutsu, et tous deux vivent une nuit d&#39amour torride ensemble. Comment les intérêts de chacun vont-ils influer sur leur relation ? Et pourquoi Akutsu agit-il de façon si familière avec Natsuki ?",978-2382763933,https://m.media-amazon.com/images/I/61dHzfEtVKL._SY522_.jpg,Boy&#39s Love; Hana Book édition (13 décembre 2023),Io Amaki,Yaoi
L&#39hotel de tous les plaisirs,12.44,"Ron est un célèbre acteur, et le propriétaire d&#39un hôtel de luxe au coeur de Londres. Il offre à ses clients les plus fortunés un service spécial : une unique nuit d&#39amour et de plaisir avec tout membre du personnel porteur d&#39un badge spécial. Un jour, il reçoit la demande du mystérieux prince arabe Rana, qui souhaite passer cette nuit de volupté avec nul autre que Ron lui-même. Il s&#39exécute, mais Rana est-il vraiment celui qu&#39il prétend être ? Parallèlement, Ryûsen, un homme d&#39affaires de Singapour, bénéficie lui aussi des services spéciaux de l&#39hôtel avec le concierge en chef, Kashiro.",978-2382764206,https://m.media-amazon.com/images/I/71T7lwbhVZL._SY522_.jpg,Boy&#39s Love; Hana Book édition (13 décembre 2023),Yan,Yaoi
Sasaki et Miyano - Tome 6 (VF),5.91,"Dans Sasaki et Miyano, véritable manga hybride et énorme succès au Japon, suivez le quotidien empli de douceur de deux lycéens qui apprennent pas à pas à se connaître...
Maintenant que Miyano a pris conscience de ses sentiments pour Sasaki, il ne lui reste plus qu&#39à lui avouer ce qu&#39il ressent. Hélas, lorsqu&#39il se sent enfin prêt à le faire, le moment semble toujours mal choisi... Entre les responsabilités du premier au sein du comité de discipline et les concours d&#39entrée à l&#39université qui occupent le second, les deux adolescents n&#39ont pas un moment à eux. Miyano parviendra-t-il à ouvrir son cœur à Sasaki ?",978-2382124550,https://m.media-amazon.com/images/I/61W0f7+iS1L._SY522_.jpg,Akata; Illustrated édition (27 avril 2023),Shou Harusono,Yaoi
Sanctify T02,5.02,,978-2375063828,https://m.media-amazon.com/images/I/419JJSN4EwL._SY445_SX342_.jpg,TAIFU COMICS; Illustrated édition (17 novembre 2023),GODSSTATION,Yaoi
Cherry Magic - Tome 4 (VF),13.47,"Avec humour et une pointe de magie, Yuu Toyota met en scène une adorable romance entre deux hommes adultes. Grâce à sa bienveillance, Cherry Magic ne manquera pas de faire fondre vos cœurs !
Ça y est, Adachi a pris son courage à deux mains pour faire sa déclaration à Kurosawa ! Mais alors, le moment est venu pour le couple d&#39avoir son premier rendez-vous amoureux ?! Pour l&#39occasion, Kurosawa a choisi de mettre les petits plats dans les grands. De son côté, Adachi est angoissé à l&#39idée de commettre un impair et d&#39être mal assorti à son petit ami. Pourtant... et si, sous ses airs de prince charmant, Kurosawa était aussi stressé que lui, en réalité ?",978-2385312381,https://m.media-amazon.com/images/I/418lHwneyGL._SY445_SX342_.jpg,Akata; Illustrated édition (21 mars 2024),Yuu Toyota,Yaoi
