Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Distress - Tome 1,16.0,"Lenny, jeune Français récemment victime d&#39un étrange accident dans lequel il a perdu sa jambe, débarque à Montréal pour poursuivre ses études de journalisme. À l&#39occasion d&#39un devoir de classe, il fait la connaissance d&#39Anoki, un Algonquin discret avec qui il doit faire équipe, et insiste pour enquêter sur une légende urbaine. Leur traque les entraîne alors dans une mystérieuse chasse au monstre. Entre mythes, légendes et faux-semblants, les deux garçons vont se confier l&#39un à l&#39autre. Mais que se passera-t-il quand ils découvriront leurs secrets ?",978-2379503337,https://m.media-amazon.com/images/I/71UO0KM4mfL._SY522_.jpg,VEGA DUPUIS; Illustrated édition (2 juin 2023),Toth-M,Josei
L&#39amour est dans le thé - Tome 01,7.9,"Un mariage fein-thé
Poursuivie par son ex-fiancé, Chako est contrainte d&#39abandonner son travail et son domicile. À 28 ans, elle revient vivre dans la maison familiale, complètement démunie, mais tombe nez à nez avec un inconnu et une mystérieuse petite fille.
C&#39est le début d&#39une fausse vie de jeunes mariés dans une paisible plantation de thé !

Drôle, léger, plein de douceur et pourtant très instructif ! Cette comédie romantique, qui se déroule au fin fond de la campagne japonaise, met en lumière une activité assez méconnue et pourtant si essentielle à nos journées : la production de thé.",978-2344058299,https://m.media-amazon.com/images/I/71aCDm2414L._SY522_.jpg,Glénat Manga; Illustrated édition (22 novembre 2023),Umebachi Yamanaka,Josei
Vies d&#39ensemble - Au-delà des mots: Tome 1,8.27,"Amis, amants, famille... A-t-on besoin de se mettre une étiquette pour aimer vivre avec quelqu&#39un ? Takeda est professeur de japonais et Arita est fleuriste. Camarades de classe au lycée, ils ne s&#39étaient plus revus depuis la fin de leurs études. Mais un jour de pluie, leur relation évolue lorsqu&#39ils viennent en aide à un chat. Ils n&#39ont pas de sentiments amoureux l&#39un pour l&#39autre, ni même de raison particulière de vivre ensemble. Pourtant, c&#39est lorsqu&#39ils sont aux côtés l&#39un de l&#39autre qu&#39ils se sentent le plus à l&#39aise. Ils ont une relation différente des couples, des amis ou encore d&#39une famille. Mais ils apprécient passer du temps ensemble. Un doux récit introspectif sur les relations entres les individus !",978-2380600834,https://m.media-amazon.com/images/I/71dv6ZHPgxL._SY522_.jpg,Naban Editions; Illustrated édition (19 avril 2024),Fumiya Hayashi,Josei
La Concubine rebelle - Chroniques du pays radieux - Tome 1 (VF),6.99,"Entre ruses et secrets, laissez-vous embarquer par les intrigues de La Concubine rebelle, une série de fantasy asiatique mettant en scène une héroïne au caractère bien trempé qui est contrainte de trouver sa place dans un palais hostile.
Afin d&#39assurer la paix sur ses steppes natales, Sarannah doit quitter son clan pour épouser l&#39empereur du Pays radieux et rejoindre le palais intérieur, au cœur de la cité impériale. Hélas, venant d&#39une contrée étrangère, la jeune femme a du mal à se faire accepter par les autres concubines... Heureusement, grâce à sa perspicacité et à sa détermination, elle pourrait bien réussir à déjouer les pires manigances et à se rendre indispensable au sein de la demeure royale !",978-2382126394,https://m.media-amazon.com/images/I/71zQwnljPUL._SY522_.jpg,Akata; Illustrated édition (21 mars 2024),Hiromi Ebira,Josei
Mon petit ami Genderless - Tome 5 (VF),17.13,"Dans Mon petit ami genderless, suivez le quotidien lumineux d&#39un couple particulièrement moderne. Sous le trait de Tamekou, laissez-vous attendrir par ce manga bourré d&#39énergie positive.
La carrière musicale de Meguru et Sasame est à peine lancée qu&#39ils fêtent déjà leur première apparition dans une série télé ! Suite à cette expérience enrichissante, les deux membres d&#39Unicorn Boys reprennent leurs activités, mais Meguru s&#39interroge sur son avenir dans le métier. Quand Wako est sollicitée pour une opportunité professionnelle alléchante, il pourrait bien prendre une décision radicale...",978-2385313821,https://m.media-amazon.com/images/I/619MpW8FUXL._SY522_.jpg,Akata; Illustrated édition (15 février 2024),Tamekou,Josei
JK Haru: Sex Worker in Another World - Tome 5,10.49,"Cet endroit aussi était un autre monde pour elle.

Après un accident de la route, Haru, jeune lycéenne, s&#39est retrouvée dans un autre monde où elle est contrainte à travailler comme prostituée. Après de nombreuses aventures, elle décide de prendre la place de son aînée, Sikraso, partie en mission dans une caserne militaire.

Découvrez le cinquième tome de ce manga qui a fait le buzz sur le net !",978-2385033644,https://m.media-amazon.com/images/I/81Lg9CKBcML._SY522_.jpg,Meian; Meian (Collection Daitan!) édition (21 juillet 2023),Ko Hiratori,Josei
Perfect World - Tome 4 (VF) (04),7.58,"À n&#39en pas douter, étant donné la fin du tome 3 de Perfect World, ce quatrième sera l&#39un des plus attendus des mangas de la saison ! Et si le destin des personnages prend des tournants parfois bien cruels, c&#39est pour permettre à l&#39auteur de mieux déveloper leurs psychologies... Un must du shôjo !
Ayukawa a fait son choix et il semble irrévocable. Tsugumi a encore du mal à le croire, et pourtant... Kore-éda, resté dans l&#39ombre jusque-là, pourrait bien en profiter pour passer à l&#39action. Pour ne rien arranger, la jeune femme va également apprendre une autre nouvelle qui va profondément la bouleverser. Son quotidien bascule et... Le temps qu&#39Ayukawa réalise son erreur, ne sera-t-il pas trop tard ?",978-2369741978,https://m.media-amazon.com/images/I/61P8UKkEEgL._SY522_.jpg,Akata; Illustrated édition (13 avril 2017),Rie Aruga,Josei
TOKYO GIRLS BRAVO T.1 (1),11.9,"Sakaé Kaneda, lycéenne de province, a des goûts musicaux pointus et un look étudié. Fraîchement débarquée à Tokyo, elle s&#39apprête à vivre - enfin ! - la grande vie. Mais alors qu&#39elle rêve d&#39être la nouvelle égérie punk, sa mère la prive de sorties et d&#39argent de poche. Pire, au moindre écart, elle la menace d&#39aller se faire rééduquer chez sa grand-mère, la "" vieille sorcière "" ! Sakaé, la rebelle, parviendra-t-elle à vivre son rêve, malgré son entourage ringard et les désillusions qui la guettent ?",978-2203006218,https://m.media-amazon.com/images/I/51c8rH36u+L.jpg,CASTERMAN (17 février 2009),KYOKO OKAZAKI,Josei
Karneval T19 (19),7.95,"Un gamin errant, un voleur... et à leurs trousses l&#39organisation d&#39espions la plus dangereuse du pays !
Circus est enfin sur une nouvelle piste, et c&#39est à Rabelganz, un pays où Kafka n&#39a pourtant jamais
manifesté le moindre signe d&#39activité, que les indices semblent mener... L&#39enquête, effectuée conjointement par Hirato et par le Dr Akari, est l&#39occasion idéale pour Gareki de montrer ses capacités sur le terrain !

Mais au cours du voyage, de curieux événements surviennent à bord du deuxième vaisseau : Nai est assailli par d&#39étranges visions, tandis que Yogi laisse soudainement sa seconde personnalité refaire surface...",979-1032702123,https://m.media-amazon.com/images/I/71zOPj7EA1L._SY522_.jpg,Ki-oon; Illustrated édition (20 septembre 2018),Touya Mikanagi,Josei
Qu&#39est-ce qui cloche avec la secrétaire Kim ? T04,13.35,"Lee Young Joon est l&#39héritier d&#39une entreprise prestigieuse qu&#39il tient d&#39une main de fer. Il considère qu&#39il est l&#39incarnation de la perfection. Alors quand sa secrétaire, Kim Miso, lui annonce qu&#39elle veut démissionner pour trouver un petit ami, c&#39est la douche froide ! Qu&#39est-ce qui lui prend ? Pour la garder auprès de lui il est prêt à tout...",978-2382880487,https://m.media-amazon.com/images/I/71TMI6N+8hL._SY522_.jpg,Kbooks; Illustrated édition (6 avril 2022),Gyeong Yun Jeong,Josei
JK Haru: Sex Worker in Another World - Tome 4,14.87,"La pluie qui tombe sur ce monde est douce et froide.

Suite à un accident de la route, Haru Koyama, lycéenne, a atterri dans un monde parallèle et travaille désormais dans un bar qui fait aussi maison close. Un homme, qui ne visite l&#39établissement que les jours de pluie, attire son attention. Sikraso, l&#39une des autres prostituées a été appelée à la caserne des soldats.

Découvrez le tome l&#39adaptation manga du roman isekai à succès !",978-2382753415,https://m.media-amazon.com/images/I/818xGJDx6eL._SY522_.jpg,Meian; Meian (Collection Daitan!) édition (13 juin 2022),Ko Hiratori,Josei
The Blue Flowers and The Ceramic Forest T03,16.36,"Alors qu&#39ils sont sur le point de lancer la commercialisation de leur première assiette, Aoko et Tatsuki continuent de se rapprocher.
Mais c&#39est sans compter sur l&#39arrivée d&#39un mystérieux inconnu, venu rendre visite à Aoko, qui ne la laisse pas indifférente... et Tatsuki non plus !
Une histoire d&#39amour et de poterie par Yuki Kodama.",978-2382816097,https://m.media-amazon.com/images/I/81c5XKv5U2L._SY522_.jpg,Mangetsu; Illustrated édition (10 avril 2024),Yuki Kodama,Josei
Anna et le prince d&#39Albion T03,8.0,"Anna retourne son épée contre le prince Kenneth, qui l&#39a négligée alors qu&#39il était son fiancé. Après une bataille acharnée, elle est vaincue, mais à ce moment-là, à la surprise d&#39Anna, le prince Kenneth lui avoue ses véritables sentiments et son amour pour elle, qu&#39il avait caché jusqu&#39à présent. Anna découvre ensuite une part du passé du prince Kenneth ainsi que de sombres événements qui frappent aujourd&#39hui le royaume d&#39Albion.",978-2380600728,https://m.media-amazon.com/images/I/71u-NGsOGmL._SY522_.jpg,NABAN (5 juillet 2024),An Ogura,Josei
Professional Desire T06,7.29,"Rin est une chargée d&#39édition prenant son travail très à coeur. Seule ombre au tableau : elle ne peut pas encadrer Satoshi, son collègue adulé par tous ! Un jour, poussée par une conscience professionnelle aigue, Rin lui tend des esquisses de scènes très osées et exige qu&#39il les joue avec elle. Pris dans une guerre d&#39ego, les deux collègues vont tomber dans une spirale de rencontres secrètes, torrides et un brin sadiques...",978-2302098046,https://m.media-amazon.com/images/I/819qjflWzML._SY522_.jpg,Soleil; Illustrated édition (7 février 2024),Ai Hibiki,Josei
GAME - Entre nos corps - Tome 3 (VF) (03),6.99,"À force de coucher ensemble, les deux jeunes adultes ne risquent-ils pas de se brûler les ailes ? De Kiriyama et Fujî, qui cédera en premier ? Quoiqu&#39il en soit, Kiriyama, réalisant qu&#39il commence à flancher, se laisse alors emporter par ses pulsions et...
À force de coucher ensemble, les deux jeunes adultes ne risquent-ils pas de se brûler les ailes ? De Kiriyama et Fujî, qui cédera en premier ? Quoiqu&#39il en soit, Kiriyama, réalisant qu&#39il commence à flancher, se laisse alors emporter par ses pulsions et...",978-2369743040,https://m.media-amazon.com/images/I/61JXnuVy9cL._SY522_.jpg,Akata; Illustrated édition (13 septembre 2018),Mai Nishikata,Josei
Wolf & Parchment T01,7.18,,978-2377173921,https://m.media-amazon.com/images/I/71RCsvUTmDL._SY522_.jpg,OTOTO; Illustrated édition (24 mars 2023),Isuna HASEKURA,Josei
