Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
"RIP T2 - Maurice, Les mouches suivent toujours les charognes",13.15,"Après Derrick, voici Maurice. Pas d’amis, pas de passé, pas d’avenir. Ce vieux barbu aigri nous plonge dans son quotidien macabre. Mieux encore, il nous dévoile sa véritable identité, celle qu’il cache depuis des années pour protéger sa fille… en vain.
Le deuxième tome très attendu de la série thriller évènement !",979-1095670865,https://m.media-amazon.com/images/I/81nFKvjpJ0L._SY522_.jpg,Petit à petit; Illustrated édition (23 août 2019),Julien Monier,Mystère et suspense
"Il faut flinguer Ramirez, Tome 2",22.95,"Ramon Perez est fou à lier. Il ferait tout pour flinguer la rock star du S.A.V. !
Suspecté d’être impliqué dans l’attentat visant la Robotop, Jacques Ramirez est désormais recherché par la police de Falcon City ! Alors qu’un étrange personnage ressurgit dans sa vie, il décide de fuir la ville en compagnie de Chelsea Tyler et Dakota Smith. Mais les hommes du cartel n’ont pas dit leur dernier mot. Ils feront tout, absolument tout, pour retrouver l’homme qui les a trahis.La suite tant attendue d’Il faut flinguer Ramirez arrive dans les bacs ! Jacques se retrouve embarqué bien malgré lui dans une chasse à l’homme aussi explosive que pittoresque. L’occasion idéale pour régler certains conflits familiaux et profiter des richesses qu’offrent l’État d’Arizona.",978-2344018743,https://m.media-amazon.com/images/I/814CoKwaZoL._SY522_.jpg,Glénat; Illustrated édition (2 décembre 2020),Nicolas Petrimaux,Mystère et suspense
"Blacksad, tome 2 : Arctic-Nation",15.95,"Oldsmill, le maître de la ville, est un tigre blanc. Karup, le chef de la police, un ours blanc. Huk, l&#39âme damnée de Karup, un renard blanc. Avec les autres animaux à pelage immaculé, ils forment la société WASP (W pour White, AS pour Anglo-Saxon, P pour Protestant). Tous les autres habitants, de la pie noire au renard brun-roux en passant par le chat tacheté et la biche châtain, ne sont que racaille. Et si la police n&#39est pas capable de maintenir l&#39ordre des blancs, les gros bras d&#39Arctic-Nation, le parti raciste, cagoulés et vêtus de robes blanches, s&#39en chargent sans états d&#39âme. Ils ont les cordes et les croix enflammées qu&#39il faut. Dans cette ambiance pas câline, câline, Blacksad, le chat détective privé, enquête sur la disparition d&#39une enfant de couleur. La mère de Kyle, Dinah, travaillait comme femme de ménage chez le même Karup et, selon quelques bonnes âmes, serait au mieux avec le fils Oldsmill. Un vrai noeud de vipères dans lequel Blacksad plonge les pattes et joue au justicier prompt à griffer si nécessaire… Son seul appui, le reporter d&#39un magazine à scandale Weekly. Un fouille-merde qui sera utile à John. Vaut mieux. Coups bas et coups tordus vont pleuvoir comme à Gravelotte. Après Quelque part entre les ombres, son coup d&#39essai – et de maître –, le dessinateur Guarnido va encore plus loin dans le réalisme animalier. Les gueules, les pelages, les ramages de ses personnages leur donnent une réalité extraordinaire, et – c&#39est à tomber par terre –, toujours humaine. Lorsqu&#39ils sortent leurs crocs ou leurs griffes, ses fauves relèguent les coups de gueule d&#39un James Cagney au rang de caprices de garçonnet. Le plus doux des chatons est un fauve en devenir. Alors, Blacksad en colère ! Le scénario de Canales est envoûtant comme un roman de Dashiell Hammett, glauque comme un Raymond Chandler, gouailleur comme un Chester Himes. Arctic-Nation est un vrai roman noir. Très, très noir.",978-2205051995,https://m.media-amazon.com/images/I/91T0PPcOebL._SY522_.jpg,Dargaud; Illustrated édition (1 mars 2003),Juanjo Guarnido,Mystère et suspense
Affaires d&#39Etat - Guerre Froide - Tome 04,18.46,"Espion un jour, espion toujours
1960. Soupçonné de haute trahison, l’ex-agent du SDECE, Fred Ogier, est enfin innocenté. En réintégrant ses fonctions, il est autorisé à reprendre son ancienne enquête : identifier l’espion du KGB dans l’entourage du général de Gaulle ! Dans cette affaire les révélations du transfuge soviétique Trifonov vont être remises en question. Mais comment démêler le vrai du faux ? Lancé sur une première piste qui se révèle erronée, Ogier va reprendre toute l’affaire depuis le début. Au même moment, aux États-Unis, le FBI ouvre une enquête sur le meurtre du docteur Murphy, le psychiatre chargé d’examiner Trifonov. Bientôt, Ogier va apprendre qu’il y a également une taupe au sein de la CIA. Il va devoir s’armer de patience et plonger au cœur des réseaux soviétiques s’il veut faire toute la lumière sur ce dossier épineux. Entre duperies et trahisons, parviendra-t-il à trouver la vérité dans un contexte d’omerta et de manipulation ?
Ce quatrième tome conclusif qui nous plonge au cœur des intrigues de la Guerre Froide, met fin à la grande série",978-2344057339,https://m.media-amazon.com/images/I/71fs766sdSL._SY522_.jpg,Glénat BD; Illustrated édition (10 avril 2024),Philippe Richelle,Mystère et suspense
I.R.$ - Tome 23 - Fraude à la Terre,10.63,"Tandis que les flammes du réchauffement climatique manquent de dévorer sa famille en Californie, Larry B. Max tente de combattre ce fléau depuis Washington. Cette fois-ci, la traînée nauséabonde de l&#39argent sale a mis le sénateur sur la piste du Homeplanet Institute, une société de consultants d&#39un genre un peu particulier. Leur business, c&#39est la pollution. Et ils n&#39ont aucun souci à regarder le monde brûler, pas plus qu&#39à attiser le bûcher avec le corps de leurs adversaires...",978-2808205429,https://m.media-amazon.com/images/I/81066tStorL._SY522_.jpg,LOMBARD; Illustrated édition (10 juin 2022),Desberg Stephen,Mystère et suspense
Blake & Mortimer - Tome 3 - Le Secret de l&#39Espadon - Tome 3,16.5,"Blake et Mortimer ont réussi à rallier la base secrète de la résistance dans les falaises du Makran, au Moyen-Orient. À l&#39abri de ses redoutables défenses et tandis que Blake s&#39occupe de la sécurité, le professeur Mortimer finit de mettre au point le premier prototype de l&#39Espadon : le SX 1. Mais Olrik, que l&#39évasion de Mortimer a fait tomber en disgrâce auprès de l&#39Usurpateur, n&#39a pas dit son dernier mot. Il parvient à s&#39introduire dans la place forte souterraine en se faisant passer pour un ingénieur en énergie atomique, l&#39identité idéale pour se faire ouvrir les portes des points les plus stratégiques. Sous terre et sous mer, une formidable course contre la montre s&#39engage alors entre Olrik et nos deux héros. Sauront-ils déjouer la supercherie et empêcher le traître de nuire ? Parviendront-ils à terminer l&#39Espadon, dernier espoir du monde libre, avant que Basam Damdu ne lance ses troupes dans un assaut final et dévastateur des falaises du Makran ? Vous le saurez en lisant ce troisième et dernier tome du Secret de l&#39Espadon : ""SX 1 contre-attaque"".",978-2870971673,https://m.media-amazon.com/images/I/91G-wQXXIYL._SY522_.jpg,BLAKE MORTIMER (4 avril 2013),Edgar P. Jacobs,Mystère et suspense
Five Nights at Freddy&#39s Graphic Novel Trilogy Box Set,13.26,"Don&#39t miss this boxed set of the New York Times bestselling Five Nights at Freddy&#39s graphic novel trilogy!
It&#39s been ten years since the horrific murders at Freddy Fazbear&#39s Pizza tore the town of Hurricane, Utah, apart. Charlie, whose father owned the pizzeria, reunites with her childhood friends on the anniversary of the tragedy, and together they revisit the abandoned pizza place. After they discover a way inside, they realize that things are not as they used to be. The four animatronic mascots that once entertained patrons have a dark secret . . . one that sets Charlie and her friends on a path to unravel the many mysteries her father -- and his twisted partner -- left behind.
Now readers can enjoy the complete original trilogy of Five Nights at Freddy&#39s in one graphic novel boxed set!",978-1339012513,https://m.media-amazon.com/images/I/918cTOhytxL._SY522_.jpg,Graphix; 1er édition (3 octobre 2023),Scott Cawthon,Mystère et suspense
Les Cinq de Cambridge: Intégrale,29.0,"Alors que la crise de 1929 a plongé les classes populaires anglaises dans une misère noire et que le fascisme émerge partout en Europe, dans les amphithéâtres de Cambridge, la majorité des étudiants reste indifférente, assurée d&#39appartenir à une caste immuable d&#39élus. Mais les certitudes se lézardent pour certains, et au doute succèdent le dégoût puis la conviction que le Vieux Continent se compromet. Seule l&#39Union soviétique semble avoir quitté la rive à temps... De cette prise de conscience naît le plus incroyable réseau d&#39espions du XXe siècle, qui, dans l&#39ombre, infléchira radicalement, pendant plus de 30 ans, le cours de l&#39Histoire : Les Cinq de Cambridge ! Cette intégrale regroupe les 3 volumes de la série.",978-2203223639,https://m.media-amazon.com/images/I/817+tOe5jPL._SY522_.jpg,CASTERMAN; Illustrated édition (3 février 2021),VALERIE LEMAIRE / OLIVIER NEURAY,Mystère et suspense
Les Forêts d&#39Opale T14,16.55,"Rodombre est parvenu à déterminer l&#39emplacement du Titan de Lumière qui peut donner à celui qui le possède une totale domination sur les cinq royaumes. Luksand et Altaï l&#39ont conduit jusqu&#39au port fluvial d&#39Almandor. Là, ils vivent de petits boulots pour payer les soins de Rodombre, blessé. Mais ils sont repérés par les Rédempteurs Radieux, décidés à restaurer le terrifiant Ordre de la Lumière.",978-2302095892,https://m.media-amazon.com/images/I/915w2RyxArL._SY522_.jpg,Soleil; Illustrated édition (22 mars 2023),Stefano Martino,Mystère et suspense
RIP T5 - Fanette - Mal dans la peau des autres,17.9,"Elle est seule derrière son comptoir, jour après jour. Dérangée seulement par les mouches qui vrombissent et les clients qui glapissent. Elle s’ennuie ferme, prisonnière de ce bar décharné, prisonnière d’une mission qu’elle n’a pas choisi et qu’elle ne comprend même pas. Que fais-tu ici Fanette ? Qu’est-ce qui pourrait bien se passer dans cet endroit aussi mort que ton âme ? Pourquoi est-il si essentiel de le garder à l’œil, ce pauvre vieux ?",978-2380461381,https://m.media-amazon.com/images/I/81edbu4mEtL._SY522_.jpg,Petit à petit; Illustrated édition (14 septembre 2022),Julien Monier,Mystère et suspense
