Nom,Description,Photo
Tim Probert,"Tim Probert est un artiste aux multiples casquettes : illustrateur, coloriste, scénariste, il est également directeur artistique d'un studio d'animation indépendant (Aardman Nathan Love), où il travaille sur des projets pour Nickelodeon, Kellogg's, Coca-Cola ou Candy Crush... Il vit à New-York et Lightfall est sa première bande dessinée.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mathilda PB,,
Boutanox,,
Boutanox,,
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bande dessinée. Auteur prolifique, il a créé de nombreux univers BD pour l'édition (chez Bayard, Actes Sud, Casterman, Gallimard BD, Glénat...) et la presse jeunesse (« Le Journal de Mickey », Bayard Presse, Milan Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle. Il a imaginé cette héroïne au caractère bien trempé quand il avait 14 ans. L'occasion pour lui de porter un regard sur les fantaisies de l'enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage d'Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d'école.

Diane Le Feyer a rejoint l'aventure « Mortelle Adèle » en 2014, en devenant la dessinatrice de la série à partir du tome 8 (Miss Prickly étant la dessinatrice des sept premiers tomes de la série). Elle a commencé dans le jeu vidéo et le dessin animé, au Cartoon Saloon, avant de se tourner vers les livres jeunesse en France et à l'étranger. Elle a depuis eu l'occasion de multiplier les collaborations prestigieuses avec Hallmark, HarperCollins, Mattel, Bayard Éditions, Scholastic, Igloo Books, Five Mile...",https://m.media-amazon.com/images/S/amzn-author-media-prod/m1cn6vefkt8dt6tvr90fjm34fb._SY600_.jpg
Peter Wohlleben,"Benjamin Flao est un scénariste, dessinateur et coloriste de bande dessinée né à Nantes en 1975. Il est notamment l'auteur de Kililana
Song (Prix Ouest France - Quai des bulles pour le premier et nomination en sélection officielle au Festival
d'Angoulème). En 2021, il publie L'âge d'eau chez Futuropolis.
Fred Bernard est auteur, scénariste et illustrateur. Depuis tout petit, il est passionné par la nature. Il est l'auteur au Seuil : La Tendresse des crocodiles (2003), L'ivresse du poulpe (2004), Lily Love Peacock (2006), Les Chroniques de la vigne et Les Chroniques de la fruitière (chez Glénat).",https://m.media-amazon.com/images/S/amzn-author-media-prod/r3pb8mai0fgv8rbhdh6a10465p._SY600_.jpg
DUBU(REDICE STUDIO),,
Laurent Hopman,,
Riad Sattouf,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ih8sp89m4cqg44ki8td7d3dsqr._SY600_.jpg
Lucile Gomez,"Au sortir de ses études de communication visuelle, Lucile Gomez n'entend pas abandonner totalement le dessin au profit du graphisme. Blogueuse de la première génération, elle partage réflexions et tranches de vie autobiographiques illustrées.
Constatant que le milieu de la bande dessinée est avant tout masculin, elle réunit un certain nombre de collègues auteures dans le webzine Desseins, « le webzine des filles qui en ont ». Au fil des numéros, elle se dévoile dans des histoires courtes, aussi sensibles qu'expressives, qui seront rééditées en 2006 par Le Cycliste. Une première expérience éditoriale qui trouve sa suite dans Les Fables de Belle Lurette, un recueil « tout en couleurs, en images et en rimes », édité chez Drugstore. Au fil de ces petits poèmes, elle décortique les relations contemporaines de son œil résolument féminin – un leitmotiv qui lui inspire Bretzelle et Baba, deux héroïnes conçues pour le magazine Kramix, dont les discussions douces-amères se poursuivent aujourd'hui en album aux Éditions du Lombard.
Elle a également été la marraine de la 7ème édition du Festiblog (festival des blogs BD et du Webcomics) en 2011.
Parallèlement, elle trouve le temps d'illustrer divers projets littéraires et autres pages de magazines, ainsi que de participer à une collection de courts-métrages sur le thème des fantasmes féminins.
En 2016, elle illustre pour Mama Éditions L'Enfantement, entre puissance, violence et jouissance d'Hélène Goninet, entamant ainsi une collaboration qui se poursuit avec des projets de couverture pour L'École de la liberté en 2017 et de bandes dessinées pour la collection Graphics. 
 ",https://m.media-amazon.com/images/I/81JUrw3G5LL._SY600_.jpg
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bande dessinée. Auteur prolifique, il a créé de nombreux univers BD pour l'édition (chez Bayard, Actes Sud, Casterman, Gallimard BD, Glénat...) et la presse jeunesse (« Le Journal de Mickey », Bayard Presse, Milan Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle. Il a imaginé cette héroïne au caractère bien trempé quand il avait 14 ans. L'occasion pour lui de porter un regard sur les fantaisies de l'enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage d'Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d'école.

Diane Le Feyer a rejoint l'aventure « Mortelle Adèle » en 2014, en devenant la dessinatrice de la série à partir du tome 8 (Miss Prickly étant la dessinatrice des sept premiers tomes de la série). Elle a commencé dans le jeu vidéo et le dessin animé, au Cartoon Saloon, avant de se tourner vers les livres jeunesse en France et à l'étranger. Elle a depuis eu l'occasion de multiplier les collaborations prestigieuses avec Hallmark, HarperCollins, Mattel, Bayard Éditions, Scholastic, Igloo Books, Five Mile...",https://m.media-amazon.com/images/S/amzn-author-media-prod/m1cn6vefkt8dt6tvr90fjm34fb._SY600_.jpg
Lapière Denis,"Denis Lapière a débuté sa carrière de scénariste avec Michel Constant pour qui il crée la série Mauro Caldi (six titres chez Alpen). Très vite, il multiplie les collaborations : Le Coeur Mangé avec Marc Renier (Editions du Lombard) Alice et Léopold avec O. Worniak (cinq titres chez Dupuis) Maurocaldi avec M. Constant (six titres chez Alpen) Charly avec Magda (cinq titres chez Dupuis - Repérage) Bahamas, Bullwhite (Albin Michel) et Le Bar du Vieux Français (en deux tomes chez Aire Libre) avec J.P. Stassen... La Race des Seigneurs : La Mémoire Brûlée avec Courtois (chez Dargaud) La Saison des Anguilles avec Pierre Bailly (Collection Long Courrier chez Dargaud) Il reprend également les scénarios de la série Tif et Tondu avec Sikorski (quatre titres chez Dupuis). Charly et Le Bar du Vieux Français collectionnent à eux deux pas moins de dix prix d'importance attribués dans quatre pays différents (Hollande, Suisse, Belgique et France) dont l'Alph'Art Coup de Coeur à Angoulême...

Né en 1967 à Versailles, Marc Bourgne vit en région parisienne. Il réalise sa première BD à l'âge de 9 ans et n'a jamais arrêté depuis de raconter des histoires en images. Après 4 ans d'études d'Histoire à la Sorbonne, il obtient sa maîtrise en 1989 avec un mémoire sur l'Alaska. Pour réaliser les premiers albums de la série Etre Libre et créer ses jeunes héros, Andy et Flo, il s'inspire à la fois de son intérêt pour l'Amérique du Nord et de ses propres souvenirs d'adolescence. Marc Bourgne dessine, par ailleurs, les couvertures d'ouvrages de la Bibliographie Verte de Hachette et travaille pour la publicité et la communication d'entreprise (Minolta, Banque Populaire, Cogema, Générale des Eaux..) Il anime des conférences sur le thème de la BD, ainsi qu'une émission hebdomadaire pour une radio locale de la région parisenne.

Eillam est le pseudonyme de Brice Mallié, né le 1er décembre 1979. Illustrateur et dessinateur de bande dessinée, il a également travaillé dans l'illustration pour enfants et le jeu vidéo.
Eillam a collaboré avec Marc Bourgne sur la série de bande dessinée Frank Lincoln, éditée chez Glénat.
En 2023, il signe, pour Graton éditeur, quelques illustrations de voitures d'avant-guerre pour le Dossier Michel Vaillant « 100 ans du Mans » ainsi qu'une histoire courte inédite.",
Boutanox,,
Boutanox,,
