Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Mindset: The New Psychology of Success,16.49,"From the renowned psychologist who introduced the world to “growth mindset” comes this updated edition of the million-copy bestseller—featuring transformative insights into redefining success, building lifelong resilience, and supercharging self-improvement.

“Through clever research studies and engaging writing, Dweck illuminates how our beliefs about our capabilities exert tremendous influence on how we learn and which paths we take in life.”—Bill Gates, GatesNotes

“It’s not always the people who start out the smartest who end up the smartest.”",978-0345472328,https://m.media-amazon.com/images/I/71wEDMAAnOL._SY522_.jpg,"Random House Publishing Group; Reprint,Updated édition (26 décembre 2007)",Carol S. S. Dweck
"Front Populaire - N° 16 L'Europe démystifiée, vie et mort d'un empire",14.9,"En cette année d'élections européennes, Front populaire entend dénoncer la mascarade maastrichtienne.
En cette année d'élections européennes, Front populaire entend dénoncer la mascarade maastrichtienne. Durant des décennies, le système politico-médiatique a imposé l'idée que l'Union européenne était le navire-amiral du progrès et du salut des peuples. Pas de contestation possible sous peine d'excommunication. ""Europe diplomatique"", ""Europe de la défense"", ""Europe sociale"", ""Europe puissance"", ""Europe souveraine""... En 1992, au moment des accords de Maastricht, l'Europe était présentée comme la solution à tous nos problèmes. Trente ans plus tard, où en sont les promesses ? L'heure du grand bilan a sonné !",978-2492006234,https://m.media-amazon.com/images/I/61QN9XJEdlL._SY522_.jpg,Editions du plenitre (14 mars 2024),Michel Onfray
History of Press Graphics. 1819–1921,18.65,"Dans notre monde actuel fait d’images instantanées, d’infos 24h sur 24 et de connectivité permanente, la presse illustrée où les images comptent autant que le texte se fait de plus en plus rare. Ce remarquable recueil célèbre l’âge d’or du journalisme graphique en tant que genre unique, qui fut aussi un laboratoire de l’esthétique d’avant-garde.

La collection couvre la période de 1819 à 1921 et les nombreuses applications du graphisme à l’information, au dessin politique et satirique. Les œuvres d’artistes connus comme Jean Cocteau, Juan Gris et Käthe Kollwitz côtoient celles des maîtres de l’illustration Thomas Nast, Honoré Daumier, Gustave Doré et de nombreux graphistes de presse peu connus, ces fameux «artistes spécialisés» dont cet ouvrage veut faire",978-3836507868,https://m.media-amazon.com/images/I/91vP9wuq39L._SY522_.jpg,EVERGREEN; Multilingual édition (28 avril 2023),Alexander Roob
Histoires de France - numéro 8083,11.0,"L'objectif de ce dossier, réalisé par Dominique Borne, est de présenter non pas une, mais des histoires élaborées au fil du temps. Il fait le point sur deux grands moments du récit national : celui de l'histoire providentielle d'un royaume aimé de Dieu et celui d'une histoire de France écrite au nom du peuple et des valeurs de la République.
L'objectif de ce dossier, réalisé par Dominique Borne, est de présenter non pas une, mais des histoires élaborées au fil du temps. Il fait le point sur deux grands moments du récit national : celui de l'histoire providentielle d'un royaume aimé de Dieu et celui d'une histoire de France écrite au nom du peuple et des valeurs de la République.
Qu'en est- il aujourd'hui ? Grâce à une présentation attrayante et didactique, dans une maquette renouvelée, voici revisitée une histoire de France, enrichie des avancées de la recherche.",,https://m.media-amazon.com/images/I/61S+Po6JRQL._SY522_.jpg,CNRS éditions (11 septembre 2011),Dominique Borne
Si le loup était pressé,9.66,"Tiens tiens, voilà le loup qui passe devant nous, sans un ""coucou"" ni un ""houhou""...
Mais pourquoi le loup n'embête-t-il pas les enfants ? Et pourquoi est-il aussi pressé ?
Un livre à toucher à lire et à relire, pour rire avec loup !",978-2408035358,https://m.media-amazon.com/images/I/61Rq1+1qPvL._SY522_.jpg,Editions Milan; Illustrated édition (18 mai 2022),Philippe Jalbert
Veritas Tantam: Potentiam habet ut non subverti possit. La vérité a une telle puissance qu'elle ne peut être anéanti,6.9,"Le monde selon Olivier de Kersauson.
Comment rester libre dans une société de plus en plus contrainte ?
Le monde change : il vacille, il tangue. Olivier de Kersauson est de ceux qui le connaissent bien tout en l’interrogeant sans cesse. Son point de vue si caractéristique, son écriture pure et sans détours ont fait de lui un témoin hors norme de notre époque. Depuis le large, ce grand marin aperçoit nettement les contours de notre société en constante mutation. Pour lui, une seule chose compte : garder le cap au milieu des tempêtes. Alors, comment faire pour ne pas chavirer ? Comment rester libre dans une société de plus en plus contrainte ?
Olivier de Kersauson nous offre ici de magnifiques pages où s’aiguisent sa pensée autant que sa plume.",979-1041415885,https://m.media-amazon.com/images/I/71WMeooeh0L._SY522_.jpg,POINTS (19 janvier 2024),Olivier de Kersauson
J’aime l’odeur de l’encre sur le Papier au petit matin: Trente-cinq ans de journalisme au Cameroun,11.4,"Une histoire de la presse écrite au Cameroun en 40 arrêts. C'est le voyage dans lequel Haman Mana nous embarque. Ainsi, il nous ouvre les placards de l’histoire des titres phares qui ont jalonné sa route professionnelle: Cameroon- Tribune, Le Messager, Ozone , Mutations, Le Jour...
Il nous immerge dans les réalités et contraintes de la presse écrite telles que vues, entendues et senties par le reporter d'abord, le patron de presse ensuite. Surtout, il nous amène à la rencontre, sous son regard ingénu , des hommes et femmes, qui chacun dans son rôle et à sa manière ont contribué à construire, à façonner ces rendez-vous, ces moments presque sacrés, de rencontre avec les lecteurs.
Prenant appui sur des moments importants de la vie politique et de la presse du Cameroun, et à travers de nombreux faits saillants que son rôle de « chien de garde » lui ont donné le privilège d’observer de l’intérieur, il nous transporte dans les coulisses des débats d’idées et parfois des brutalités qui dominent l’espace politique ou l’actualité récente au Cameroun: les échanges au sein de la Commission de recensement des votes de l’élection présidentielle de 1992, les péripéties du conflit avec le ministère de l’Administration territoriale à la suite de l’éditorial au titre transpirant exaspération et révolte « Ballot or Bullet » , l'affaire des 21 décrets de l'armée, celle du bébé volé de Vanessa Tchatchou, la démission de Titus Edzoa, les coulisses de l'opération épervier... Au-delà de ces regards rétrospectifs, c’est également l’histoire du développement et de l’essor de médias à capitaux privés que parcourt l’auteur.
Les moments de gestation de Mutations jusqu’à sa parution le 7 juillet 1996. Une visite guidée, en première classe, des grands moments de la vie de ce journal qui représente l’aboutissement d’une « volonté de prise en main de leur destin professionnel » par de jeunes journalistes , histoire de faire mentir les modèles et idées admises sur la seule fonction publique comme mode d’épanouissement. Évidement, n’échappent à cette immersion, les soubresauts et combats qui ont jalonné les moments de la vie des acteurs et auteurs de la naissance du quotidien Le Jour et l'expérience de Les Éditions du Schabel, un éditeur porté vers les voix de la rupture. Il s'agit d'un témoignage brut, qui est dans son essence et sa finalité , un matériau de réflexion sur l'avenir des médias au Cameroun.",978-9956267583,https://m.media-amazon.com/images/I/71BaPqc2qlL._SY522_.jpg,Les Editions du Schabel (4 avril 2024),HAMAN MANA
We Can't Do This Alone: Jefferson Hack the System,9.78,"A Clarion Call for Cultural Resistance in a Digital Age 

Welcome to an extraordinary journey into underground culture from visionary publisher Jefferson Hack. Featuring contributions from cultural provocateurs Tilda Swinton, Rankin, Douglas Coupland, Björk, Aimee Mullins, and many more, We Can’t Do This Alone: Jefferson Hack the System re-defines the purpose of alternative media in the 21st century—drawing on a wealth of innovative projects to artfully map out a bright future for radical publishing. In the spirit of progressive individualism at its core every single copy is unique, emblazoned with an individuated, numbered cover displaying a one-off fresco of the provocative material between its pages. If you stand for nothing, you’ll fall for anything.",978-0847847433,https://m.media-amazon.com/images/I/71HghDipDJL._SY522_.jpg,Rizzoli; 1er édition (11 mai 2016),Jefferson Hack
Marmiton - En 20 minutes c'est prêt !,10.95,"Facile, rapide et délicieux : tous en cuisine !
Vous rentrez tard du boulot ? Les enfants ne vous ont pas laissé une minute pour souffler ? Des amis débarquent à l'improviste ? Vous êtes épuisé après votre cours de sport et ne rêvez que de vous affaler dans le canapé ?
Vous mettre aux fourneaux, vous n'y pensez même pas !
Pourtant, quel meilleur moyen de finir une longue journée que de se faire plaisir avec un bon repas ?

Grâce à ces 60 recettes rapides et faciles, mitonnez de bons petits plats en 5, 10, 15 ou maximum !
En bonus : des astuces pour gagner du temps en cuisine pour tout cuisiner : légumes, viandes, poissons.",978-2749950761,https://m.media-amazon.com/images/I/71+8sg3wuhL._SY522_.jpg,Michel Lafon x Marmiton; Illustrated édition (25 août 2022),Marmiton
Vivre à Paris au Moyen Âge: Histoires de Paris,19.88,,979-1020408044,https://m.media-amazon.com/images/I/71BsaS6ZeNL._SY522_.jpg,BEAUX ARTS ED (29 mars 2023),COLLECTIF
