Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Citrus T07,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre sa pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle a se faire à sa nouvelle vie ? Arrivera-t-elle à s'entendre avec sa demi-soeur ?",978-2375061060,https://m.media-amazon.com/images/I/71iP9rCUO1L._SY522_.jpg,TAIFU COMICS; Illustrated édition (12 juillet 2018),SABUROUTA
Citrus + T03,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Découvrez ce qui se passe à la fin du tome 10 de Citrus, et tout ce qui a mené Yuzu et Mei à la conclusion attendue de leur relation !",978-2375063057,https://m.media-amazon.com/images/I/716mkWV7qJL._SY522_.jpg,TAIFU COMICS; Illustrated édition (10 décembre 2021),SABUROUTA
Kase-san saison 2 T03 (& Yamada),10.62,"Moi aussi, je veux te voir tous les jours ! Nous sommes en automne et Kase est toujours aussi occupée avec son club et sa vie au dortoir. Yamada, de son côte continue d'étudier et travaille à mi-temps. Elle a même rejoint le club de jardinage. Ce dernier participe à la création d'un jardin pour la fête de l'université, produit par un jardinier admire de Yamada : Tagame Densuke. De plus, un invité de marque sera de la partie... Il s'agit d'un acteur qui intervient dans la même émission télévisée que M. Densuke, un beau gosse surnommé ""le prince fleuri"", Seki Tomoharu. Quand elle le découvre, Kase n'arrive pas à rester calme... Chacune a la fête d'automne de son université, puis vient leur premier voyage en hiver. Et leur envie de vivre ensemble ne fait que gonfler ! Le récit de la jeunesse étincelante de Yamada et Kase, troisième volume à l'université !",978-2375063798,https://m.media-amazon.com/images/I/716NYGVd2JL._SY522_.jpg,TAIFU COMICS; Illustrated édition (26 janvier 2024),Hiromi TAKASHIMA
Kase-san T04 (& le tablier),10.98,"Chargée comme d'habitude de l'entretien des fleurs du lycée, Yamada fait un jour la rencontre de la grande et athlétique Kase, de la classe d'à-côté. Plus rapide que les garçons, plus charmante que les garçons, Kase est pour Yamada bien plus qu'une fille qu'elle aimerait être : elle est celle avec qui elle aimerait être. Mais elle ignore que son affection n'est pas à sens unique, et que Kase admire le sérieux et la féminité de la pourtant discrète Yamada. Les deux filles se rapprochent l'une de l'autre, et rapidement bourgeonne entre elles un sentiment bien particulier.",978-2375061961,https://m.media-amazon.com/images/I/61Nk1hvBdWL._SY522_.jpg,TAIFU COMICS; Illustrated édition (13 mars 2020),Hiromi TAKASHIMA
Whispering you a love song T04,16.44,,978-2375063323,https://m.media-amazon.com/images/I/719WEZjpP6L._SY522_.jpg,TAIFU COMICS; Illustrated édition (2 juin 2023),TAKESHIMA EKU
Entre Soies T05,8.35,,978-2375064177,https://m.media-amazon.com/images/I/713wyvlyryL._SY522_.jpg,TAIFU COMICS; Illustrated édition (31 mai 2024),Yuriko HARA
I'm in Love with the Villainess - Tome 04,17.77,"Rei Ohashi est une employée de bureau surmenée qui se voit réincarnée dans son jeu de drague préféré "" Révolution "", sous le nom de l'héroïne Rae Taylor. Pourtant, ce ne sont pas les princes du jeu qui l'intéressent... mais la méchante bourgeoise Claire François !

Le mouvement populaire a pris de l'ampleur au sein de l'académie royale. Le désir d'égalité porté par le peuple a provoqué l'explosion des conflits de classes et le prince Yû a été aperçu aux côtés des partisans du mouvement. L'académie dégage une atmosphère de plus en plus inquiétante et dame Claire court un grave danger...!
Une comédie romantique et fantastique dans un tome 4 tumultueux !",978-2385034078,https://m.media-amazon.com/images/I/81Bo95N1VuL._SY522_.jpg,Meian; Yuri édition (22 février 2024),Aonoshimo
Citrus T04,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste, qui veut vivre pleinement sa vie. Elle ne connaît pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très stricte réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et…sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle à se faire à sa nouvelle vie ? Arrivera-t-elle à s'entendre avec sa demi-soeur ?",978-2375060117,https://m.media-amazon.com/images/I/71GIA8tB1YL._SY522_.jpg,TAIFU COMICS; Illustrated édition (22 septembre 2016),SABUROUTA
Citrus T05,8.35,"Yuzu est une jeune fille à la mode, énergique et enthousiaste qui veut vivre sa pleinement sa vie. Elle ne connait pas l'amour et va jusqu'à cacher à ses amis son inexpérience derrière des mensonges pour bien paraître. Suite au remariage de sa mère, elle se retrouve dans une nouvelle école très restrictive réservée aux filles. Le jour de la rentrée, Yuzu se dispute avec Mei, qui n'est autre que la présidente du conseil des élèves et... sa nouvelle demi-soeur ! Face à cette situation, Yuzu ne sait pas comment réagir. Réussira-t-elle a se faire à sa nouvelle vie ? Arrivera-t-elle à s'entendre avec sa demi-soeur ?",978-2375060636,https://m.media-amazon.com/images/I/71dL1pFFm+L._SY522_.jpg,TAIFU COMICS; Illustrated édition (28 novembre 2017),SABUROUTA
Mariée à ma meilleure amie - Tome 01,7.95,,978-2385034948,https://m.media-amazon.com/images/I/01PkLIhTX3L.gif,Meian (26 juin 2024),Usui Shio
