Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
JK Haru: Sex Worker in Another World - Tome 4,9.59,"La pluie qui tombe sur ce monde est douce et froide.

Suite à un accident de la route, Haru Koyama, lycéenne, a atterri dans un monde parallèle et travaille désormais dans un bar qui fait aussi maison close. Un homme, qui ne visite l'établissement que les jours de pluie, attire son attention. Sikraso, l'une des autres prostituées a été appelée à la caserne des soldats.

Découvrez le tome l'adaptation manga du roman isekai à succès !",978-2382753415,https://m.media-amazon.com/images/I/818xGJDx6eL._SY522_.jpg,Meian; Meian (Collection Daitan!) édition (13 juin 2022),Ko Hiratori
GAME - Entre nos corps - Tome 5 (VF) (05),10.64,"Fujî, ayant réalisé qu'elle a des sentiments pour Kiriyama, a décidé de mettre fin à leur jeu. Il est temps pour elle d'essayer de mettre de l'ordre dans sa vie. Mais comment réagira-t-elle quand, au travail, elle croisera son ex-amant ? Ce dernier supporte d'ailleurs très mal la situation et choisit de se jeter à corps perdu dans des ébats débridés avec une autre partenaire...",978-2369747369,https://m.media-amazon.com/images/I/61JlC9M3IzL._SY522_.jpg,Akata; Illustrated édition (28 septembre 2023),Mai Nishikata
Blooming Girls T06,15.6,"Kazusa fait partie du club de littérature de son lycée. Un jour, l'une des membres annonce qu'elle voudrait faire l'amour avant de mourir. Cet aveu marque le début d'une période agitée pour les cinq jeunes filles qui vont finir par aborder un sujet tabou jusque-là : le sexe. Chacune d'entre elles va vivre sa première histoire d'amour. Et si aucune de nous ne franchissait le pas ? Et si on mourait sans avoir vécu « ça » ?",978-2413037477,https://m.media-amazon.com/images/I/81qusALn4LL._SY522_.jpg,Delcourt; Illustrated édition (15 mai 2024),OKADA+EMOTO
How to Make Delicious Coffee T03,8.99,"Une histoire plus tendre que corsée...
"" Oui, je suis amoureux d'elle. ""

Plusieurs mois ont passé depuis cet aveu devant le patron du café. Hiromi Nakazawa, professeur d'anglais et collègue de Karen, passe à l'attaque !

Katsutoshi décide de suivre Karen à Kamogawa afin de lui déclarer à nouveau sa flamme. Comment va-t-elle réagir ?

Série terminée en 12 tomes, avec pages intérieures colorisées",979-1035505226,https://m.media-amazon.com/images/I/61aMubhl-mL._SY522_.jpg,Mana Books; Illustrated édition (16 mai 2024),Yuka Murayama
Karneval T20 (20),6.26,"Un gamin errant, un voleur... et à leurs trousses l'organisation d'espions la plus dangereuse du pays !
Lorsqu'il était encore enfant, Karoku servait de cobaye à Kafka, avant que ses parents ne trahissent l'organisation en prenant la fuite avec leur fils. Après des années en cavale, les trois fugitifs ont réussi à trouver refuge dans la forêt irisée, où la flore particulière crée des mirages qui transforment l'endroit en un vrai labyrinthe...

La famille prend petit à petit ses marques dans ce nouvel environnement, lorsque le jeune homme tombe par hasard sur une créature étrange avec qui il finit par se lier d'amitié et qu'il décide d'appeler ""Nai' ! Mais avec Kafka qui a des yeux partout, cette vie paisible va-t-elle pouvoir durer ?",979-1032703168,https://m.media-amazon.com/images/I/71wBT3b8sfL._SY522_.jpg,Ki-oon; Illustrated édition (6 décembre 2018),Touya Mikanagi
Perfect World - Tome 10 (VF) (10),6.99,"Notre couple s'est aussi construit grâce aux éprouves que nous avons traversées ensemble. Tsugumi et Itsuki sont désormais officiellement unis par les liens du mariage ! Le quotidien reprend son cours pour les deux adultes, qui ont réussi à faire accepter leur couple par leur entourage et à trouver leur équilibre. Mais tandis que, inévitablement, le père de Tsugumi finit par décéder, une question se fait alors pressante : n'est-il pas temps, pour les deux amoureux, de réfléchir à élargir leur famille nouvellement formée ?",978-2369747970,https://m.media-amazon.com/images/I/71MpKkPtwGL._SY522_.jpg,Akata; Illustrated édition (30 janvier 2020),Rie Aruga
365 Days to the Wedding T03,7.95,"Mariés ou mutés !
La pire offensive amoureuse du siècle est sur le point de commencer !
Bien que Takuya et Rika se soient mis d'accord pour faire semblant de se marier, les sentiments qu'ils commencent à éprouver l'un pour l'autre deviennent de plus en plus durs à contenir.

Ces deux adultes qui n'y connaissent rien en amour seraient-ils sur le point de franchir une nouvelle étape dans leur relation ?!

Série terminée en 11 tomes",979-1035505325,https://m.media-amazon.com/images/I/7140yLwgRXL._SY522_.jpg,Mana Books (20 juin 2024),Tamiki Wakaki
Mysterious Disappearances 02,6.99,,978-3842091160,https://m.media-amazon.com/images/I/51Y9RqrT8PL._SY522_.jpg,TOKYOPOP GmbH (10 avril 2024),Nujima
The Ice Guy & The Cool Girl T08,18.82,"D'un côté, nous avons Himuro, descendant des temps modernes de la célèbre femme des neiges. De l'autre, Fuyutsuki, sa collègue aussi gentille qu'unique...

Mais aussi frais qu'ils puissent paraître, aucun des deux n'est doué pour les relations amoureuses. Aussi bien au travail que dans sa vie privée, Himuro s'est lentement rapproché de Fuyutsuki, et son amour pour elle s'accumule comme une montagne de neige. Alors lorsqu'il apprend que Fuyutsuki a secrètement demandé son affectation à l'étranger et qu'ils vont bientôt être séparés, il ne peut cacher son désespoir...

Arrivera-t-il à lui avouer son amour avant le grand départ ?",978-2382815755,https://m.media-amazon.com/images/I/81S8QWI4eiL._SY522_.jpg,Mangetsu; Illustrated édition (22 novembre 2023),Miyuki Tonogaya
Leçons de vie avec grand frère Uramichi T01,13.73,"Un hymne cynique à la vie d'adulte !
Uramichi Omota, 31 ans, plus connu sous le nom de "" Grand frère Uramichi "", est le présentateur du programme éducatif Aux côtés des mamans. Jeune homme dynamique mais émotionnellement instable, Grand frère Uramichi laisse parfois sans voix les "" gentils enfants "" qui entrevoient chez lui toute la noirceur du monde adulte...

Cette série célèbre le côté parfois déprimant de la vie, et s'adresse aux "" gentils enfants "" qui ont grandi !",979-1035505172,https://m.media-amazon.com/images/I/616UJzT1JxL._SY522_.jpg,Mana Books; Illustrated édition (2 mai 2024),Gaku Kuze
